input,output
don't sound so shocked. people kill for a lot worse reasons than revenge.,もっと酷い理由で 殺人を犯す人もいるわ
"linc, uh... i appreciate everything you've done...",リンク、手伝いたいが、...
and all the time i was growing up,子どもの頃は ずっと
much more directly related to us,実際には 私たちが本当には理解していない多くの事よりも
children will not need to live alone everyday!,子供たちは 1人でご飯を食べずに 済むんです!
no wonder it has a nice smell,≪道理で香りが いいはずやわ≫
"as if unfastening the knot in her heart, michiru shared her life story, her talk lasted until dawn.",誰か ついでよ。 手酌する女は 行き遅れるの。
"one, two, three, pull!",1 . . 2 .
and that's when he was embarrassed in front of the public.,凶器のトロフィーが 手前に置かれていた...》
you never know what it may do.,どんな動きをするか 分かりませんよ
they haven't caught jack the ripper yet. you didn't know that?,切り裂きジャックは まだ捕まってないだろ?
you were raised here under this roof.,お前はここで育った
what?,今何してる
luca will drive you back to wherever he picked you up.,ルカが適当な場所まで送る
but may know something about something else,私たちが取り組む問題に
we're ready for you.,準備できたわ
are there times when it flashes pink?,ピンク色になったことは あるんですか。
nasu ... ... yes suspicious region,那个...有什么可疑的地方吗
guard! please help me...,助けてください 看守!
"i had this friend, eddie",エディっていう 友達がいて
he left when i was 8 and never seen him since.,私が8才の時に居なくなり それ以来顔を見ていない
i will not do until i suffer,苦しんでまでやるもんじゃない
finch has him tied up with something. [gunshots] only one of us are gonna get out of this.,フィンチは何かと提携してるみたい ここから抜け出すんだ
"in things like this, mental images are important. mental images!",こういうのはイメージが大事なのだよ、イメージが
"thank you, god.",感謝します、神様。
i will punish them with any arms at my disposal.,私はどんな手を使っても奴らを罰する
"and after rendering all of the audio, this is what we get.",音声を全て表示すると こうなります
c2c is kinda gross 'cause you have to look right at them.,ビデオってキモいよね 見つめないとダメだし
so...,だから 我々は
i can afford it.,これくらいは大丈夫
from the millionpound security system at the bank to the pin machine you took exception to.,銀行の保安システムから 君の嫌いなカードの機械まで
"all right, listen up, y'all got 15 minutes to go out there and steal me something.",おい 聞くんだ 15分やる 何か盗んでこい
and you can just imagine them.,子どもたちの様子が 目に浮かぶでしょう
[il ho group holding company],[ イルホグループ 持ち株会社 イルホ物産の再編は... ]
"that guy, he's...",はぁ? 何言ってんだ? こいつ。
buddy.,なぁ
this is my lab.,私のラボだ
along with 82 of his madrasi classmates.,マドラサの級友82名と
is it because of that?!,お屋敷は 広いですから。
he was on my hip everywhere with me.,至る所で 私といた
"fourth, we only execute 20 milliseconds' worth of that strategy.",そして その計画を 20ミリ秒間だけ実行します
"dhs is prepared to fly into the face of this thing, or to bury it.",保障省はこの件に 立ち向かうのでなければ 闇に葬り去るだけだよ
if i had a stool sample.,もし便のサンプルがあれば
you know that.,分かってるだろ
i believe it's the senator.,議員だと思う
you claim that you saw these men together?,2人を見たのは 6月19日でしたね?
i so did not fucking need this.,それでどうすれば?
"basically, steal them from other languages.",他の言語から盗ってくるんです
let me see that.,これは悪夢だ!
but i ate it.,だけど 食べちゃった
what? even if i wanted to,言っても信じないさ
"you might not know this, so i consider it only fair to inform you that you're protecting a suspected murderer.",君たちは知らないかもしれないから言うが 君たちが守っているのは 殺人容疑者だ 君たちが彼を守り続けるなら 警察が到着する頃には
"you, you're honest to goodness.",あなた あなたは誠意がある
well,順調ですな
if danda never came to investigate the company,あの会社に 段田さんが 調査に来てくれなければ➡
i knew it was him. i saw your picture in that paper,あの男が仕組んだことのなのね。 あなたの写真が載ったあの新聞を見た、
"the other one is a professional criminal, escaped prison twice, spent half his life on the run avoiding folks like you.",もう1人は犯罪のプロで 2回脱獄しており 生まれながらの犯罪者です
days of being stepped on and days of my misery being ignored...,坚信着昔日的誓言
don't destroy your image. you understand?,イメージを崩さないで。 分かったわね?
if the professor sawchickens among pines and said nothing,先生が 「松樹番鶏図」を見て 何も言わなければ
